official_id,full_name,league_id,primary_conference,experience_years
cbb-eric-lewis-340,Eric Lewis,cbb,ACC,2
cbb-garrick-shannon-179,Garrick Shannon,cbb,Big 12,6
cbb-chad-barlow-132,Chad Barlow,cbb,Big Ten,6
cbb-justin-shamion-96,Justin Shamion,cbb,Other,4
cbb-josue-nieves-178,Josue Nieves,cbb,SEC,6
cbb-ed-corliss-256,Ed Corliss,cbb,Big East,5
cbb-jeff-pon-35,Jeff Pon,cbb,ACC,6
cbb-glen-mayberry-124,Glen Mayberry,cbb,Big Ten,5
cbb-chris-merlo-266,Chris Merlo,cbb,Big 12,4
cbb-isaac-barnett-298,Isaac Barnett,cbb,ACC,4
cbb-tommy-nunez-106,Tommy Nunez,cbb,Big Ten,6
cbb-tim-smith-165,Tim Smith,cbb,Big East,4
cbb-bharat-ramnanan-278,Bharat Ramnanan,cbb,SEC,4
cbb-michael-kitts-159,Michael Kitts,cbb,Big Ten,5
cbb-brian-mcnutt-218,Brian McNutt,cbb,Big Ten,5
cbb-kellen-miliner-251,Kellen Miliner,cbb,ACC,5
cbb-lamont-simpson-217,Lamont Simpson,cbb,Big Ten,3
cbb-jason-garretson-324,Jason Garretson,cbb,Big 12,3
cbb-brandon-cruz-152,Brandon Cruz,cbb,Big Ten,3
cbb-kelly-self-175,Kelly Self,cbb,Big 12,5
cbb-sean-hull-200,Sean Hull,cbb,ACC,5
cbb-doug-simmons-88,Doug Simmons,cbb,Big Ten,5
cbb-r-b-clyburn-180,R.B. Clyburn,cbb,SEC,6
cbb-clare-simmons-201,Clare Simmons,cbb,ACC,5
cbb-alfred-smith-219,Alfred Smith,cbb,Big Ten,4
cbb-bill-vinovich-126,Bill Vinovich,cbb,Big 12,6
cbb-robert-felder-156,Robert Felder,cbb,Big 12,5
cbb-trey-styons-190,Trey Styons,cbb,ACC,5
cbb-james-ford-272,James Ford,cbb,Big 12,3
cbb-chase-shaw-297,Chase Shaw,cbb,ACC,4
cbb-anthony-burris-315,Anthony Burris,cbb,Big Ten,3
cbb-marc-a-beasley-111,Marc A. Beasley,cbb,Other,4
cbb-randy-heimerman-181,Randy Heimerman,cbb,Big 12,4
cbb-peter-larson-193,Peter Larson,cbb,Big East,6
cbb-ryan-sassano-195,Ryan Sassano,cbb,ACC,5
cbb-landon-brandes-241,Landon Brandes,cbb,SEC,5
cbb-justin-albrecht-300,Justin Albrecht,cbb,Big East,4
cbb-ryan-holmes-113,Ryan Holmes,cbb,Other,4
cbb-jim-schipper-130,Jim Schipper,cbb,Big Ten,4
cbb-michael-wallace-262,Michael Wallace,cbb,SEC,4
cbb-erroll-lewis-264,Erroll Lewis,cbb,SEC,4
cbb-gerald-williams-184,Gerald Williams,cbb,Big 12,4
cbb-anthony-eades-299,Anthony Eades,cbb,ACC,3
cbb-doug-simons-69,Doug Simons,cbb,Big 12,6
cbb-shawn-lehigh-114,Shawn Lehigh,cbb,Other,3
cbb-rick-batsell-115,Rick Batsell,cbb,Other,2
cbb-william-covington-189,William Covington,cbb,SEC,4
cbb-chris-ford-244,Chris Ford,cbb,SEC,5
cbb-jenna-reneau-258,Jenna Reneau,cbb,ACC,3
cbb-mason-siler-279,Mason Siler,cbb,Big Ten,4
cbb-de-selle-dean-349,De Selle Dean,cbb,Big 12,2
cbb-luke-schumer-352,Luke Schumer,cbb,Big Ten,2
cbb-daryl-gelinas-117,Daryl Gelinas,cbb,Other,4
cbb-casey-mcclellan-125,Casey McClellan,cbb,Other,3
cbb-jourdan-love-153,Jourdan Love,cbb,Big Ten,4
cbb-earl-watson-154,Earl Watson,cbb,Big Ten,5
cbb-hunter-allen-247,Hunter Allen,cbb,SEC,4
cbb-shaun-seales-265,Shaun Seales,cbb,SEC,4
cbb-randal-anders-327,Randal Anders,cbb,Big 12,3
cbb-les-jones-3,Les Jones,cbb,ACC,3
cbb-jose-carrion-176,Jose Carrion,cbb,Big 12,3
cbb-leslie-jones-198,Leslie Jones,cbb,ACC,4
cbb-jimmy-casas-211,Jimmy Casas,cbb,Other,2
cbb-king-whetstone-220,King Whetstone,cbb,Big Ten,3
cbb-bill-jacobson-239,Bill Jacobson,cbb,Big 12,3
cbb-j-d-ralls-252,J.D. Ralls,cbb,ACC,3
cbb-mike-millione-285,Mike Millione,cbb,Big East,4
cbb-james-duke-331,James Duke,cbb,Big 12,3
cbb-connor-mooney-337,Connor Mooney,cbb,Big East,3
cbb-adam-flore-365,Adam Flore,cbb,ACC,1
cbb-john-hampton-54,John Hampton,cbb,SEC,4
cbb-bob-staffen-105,Bob Staffen,cbb,Other,1
cbb-ronald-brokenbrough-107,Ronald Brokenbrough,cbb,Other,3
